Race,Age
White,25
Hispanic,36
White,30
Black,28
White,28
White,25
White,35
Native American,24
Black,33
White,56
White,56
Hispanic,16
White,47
White,33
White,32
Black,21
White,64
Black,19
Hispanic,55
Hispanic,25
White,17
White,25
Asian,43
Black,39
White,24
White,70
White,79
Black,16
White,35
Hispanic,53
Hispanic,20
Black,27
Black,57
White,53
White,32
Black,26
White,53
Black,32
Hispanic,25
Black,15
White,59
Black,35
White,32
White,49
Black,46
White,25
Black,48
Hispanic,20
White,24
Black,18
White,67
White,26
White,15
White,62
Black,24
Black,27
Hispanic,26
Black,32
White,29
Hispanic,16
Black,25
White,39
White,34
White,36
Black,24
Black,50
White,50
Black,51
White,30
White,35
White,46
White,37
Black,41
Hispanic,41
White,48
Black,27
Black,29
White,47
White,48
White,41
Hispanic,24
White,38
White,28
White,47
White,65
White,58
Black,33
White,43
Black,24
Hispanic,37
Hispanic,21
White,65
White,59
White,74
White,24
White,23
Hispanic,59
White,34
White,30
Black,22
White,37
Hispanic,20
Hispanic,18
White,24
White,17
Hispanic,27
White,51
Black,29
Black,34
Asian,18
Black,17
Hispanic,55
White,44
White,27
White,66
White,45
Black,47
White,34
Black,37
White,54
Hispanic,21
White,21
White,35
White,75
Hispanic,45
Black,30
White,48
White,58
Black,29
Hispanic,44
White,82
White,53
White,60
Black,19
Hispanic,45
Hispanic,63
White,50
White,35
White,24
White,36
Black,35
Black,33
Asian,20
White,66
White,54
White,40
White,41
Hispanic,32
White,37
Black,30
White,64
Native American,21
White,28
White,40
White,32
White,50
White,33
Hispanic,17
Hispanic,34
White,37
White,47
Black,20
Black,56
Black,24
White,47
Black,37
Black,45
Hispanic,33
Hispanic,23
Black,37
Black,36
Black,34
White,29
White,45
Hispanic,24
White,51
Black,33
White,50
White,34
Black,47
White,55
White,40
Hispanic,37
White,32
White,52
Black,27
White,49
White,59
Hispanic,41
White,34
White,31
White,23
White,28
Black,16
Black,25
Black,39
Black,28
Black,32

